FECHA,PAÍS,DEPARTAMENTO,MUNICIPIO,DELITO,PAIS VÍCTIMA,GENERO,ZONA,CIRCUNSTANCIASPERSONA
2022-01-01T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-01T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-01T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-02T00:00:00.000,COLOMBIA,ANTIOQUIA,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,CHINA,MASCULINO,URBANA,CHINA
2022-01-03T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-03T00:00:00.000,COLOMBIA,SUCRE,Santiago de Tolú,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-05T00:00:00.000,COLOMBIA,ANTIOQUIA,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
2022-01-05T00:00:00.000,COLOMBIA,SUCRE,Coveñas,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-05T00:00:00.000,COLOMBIA,SUCRE,Coveñas,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-05T00:00:00.000,COLOMBIA,SUCRE,Santiago de Tolú,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-06T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),MUERTE ACCIDENTAL,COLOMBIA,FEMENINO,RURAL,COLOMBIA
2022-01-06T00:00:00.000,COLOMBIA,SUCRE,Coveñas,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-07T00:00:00.000,COLOMBIA,GUAJIRA,Uribia,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,RURAL,COLOMBIA
2022-01-07T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-07T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-07T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,-,FEMENINO,URBANA,-
2022-01-07T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),SUICIDIO,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-09T00:00:00.000,COLOMBIA,META,Villavicencio (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-10T00:00:00.000,COLOMBIA,MAGDALENA,Ciénaga,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-10T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-10T00:00:00.000,COLOMBIA,TOLIMA,Lérida,CHOQUE SIMPLE (SOLO DAÑO TRANSITO),ALEMANIA,MASCULINO,RURAL,ALEMANIA
2022-01-10T00:00:00.000,COLOMBIA,TOLIMA,Lérida,ELABORACION DE CROQUIS EN C Y T,ALEMANIA,MASCULINO,RURAL,ALEMANIA
2022-01-13T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-01-13T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-01-14T00:00:00.000,COLOMBIA,MAGDALENA,Ciénaga,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,RURAL,COLOMBIA
2022-01-14T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
